"これ","এটি / এই জিনিস (আমার কাছে)","これ (Kore)

Literal meaning: “এটি / এই জিনিস (আমার কাছে)”.

Usage: বক্তার কাছাকাছি থাকা জিনিস বোঝাতে ব্যবহৃত হয়। এটি একটি Demonstrative pronoun।

Politeness: Neutral.

Examples:
これは ほん です。→ এটি একটি বই।
これは わたしの です。→ এটি আমার।

👉 Think of it as: “এই (আমার কাছে থাকা জিনিস)।”"
"そう","তাই / হ্যাঁ","そう (Sou)

Literal meaning: “তাই / হ্যাঁ”.

Usage: একটি তাই / হ্যাঁ বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
そう は ほん です。→ এটি একটি তাই / হ্যাঁ।
これは そう です。→ এটি তাই / হ্যাঁ।

👉 Think of it as: “তাই / হ্যাঁ।”"
"ちがいます","ঠিক নয় / ভুল","ちがいます (Chigaimasu)

Literal meaning: “ঠিক নয় / ভুল”.

Usage: একটি ঠিক নয় / ভুল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ちがいます は ほん です。→ এটি একটি ঠিক নয় / ভুল।
これは ちがいます です。→ এটি ঠিক নয় / ভুল।

👉 Think of it as: “ঠিক নয় / ভুল।”"
"そうですか","তাই নাকি?","そうですか (Sou desu ka)

Literal meaning: “তাই নাকি?”.

Usage: একটি তাই নাকি? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
そうですか は ほん です。→ এটি একটি তাই নাকি?।
これは そうですか です。→ এটি তাই নাকি?।

👉 Think of it as: “তাই নাকি?।”"
"あのう","মাফ করবেন / শুনুন তো","あのう (Anou)

Literal meaning: “মাফ করবেন / শুনুন তো”.

Usage: একটি মাফ করবেন / শুনুন তো বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あのう は ほん です。→ এটি একটি মাফ করবেন / শুনুন তো।
これは あのう です。→ এটি মাফ করবেন / শুনুন তো।

👉 Think of it as: “মাফ করবেন / শুনুন তো।”"
"ほんのきもちです","সামান্য উপহার / সামান্য সৌজন্য","ほんのきもちです (Hon no kimochi desu)

Literal meaning: “সামান্য উপহার / সামান্য সৌজন্য”.

Usage: একটি সামান্য উপহার / সামান্য সৌজন্য বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ほんのきもちです は ほん です。→ এটি একটি সামান্য উপহার / সামান্য সৌজন্য।
これは ほんのきもちです です。→ এটি সামান্য উপহার / সামান্য সৌজন্য।

👉 Think of it as: “সামান্য উপহার / সামান্য সৌজন্য।”"
"どうぞ","নিন / অনুগ্রহ করে","どうぞ (Douzo)

Literal meaning: “নিন / অনুগ্রহ করে”.

Usage: একটি নিন / অনুগ্রহ করে বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
どうぞ は ほん です。→ এটি একটি নিন / অনুগ্রহ করে।
これは どうぞ です。→ এটি নিন / অনুগ্রহ করে।

👉 Think of it as: “নিন / অনুগ্রহ করে।”"
"どうも","ধন্যবাদ","どうも (Doumo)

Literal meaning: “ধন্যবাদ”.

Usage: একটি ধন্যবাদ বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
どうも は ほん です。→ এটি একটি ধন্যবাদ।
これは どうも です。→ এটি ধন্যবাদ।

👉 Think of it as: “ধন্যবাদ।”"
"[どうも]ありがとうございます","অনেক ধন্যবাদ","[どうも]ありがとうございます ([doumo] arigatou gozaimasu)

Literal meaning: “অনেক ধন্যবাদ”.

Usage: একটি অনেক ধন্যবাদ বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
[どうも]ありがとうございます は ほん です。→ এটি একটি অনেক ধন্যবাদ।
これは [どうも]ありがとうございます です。→ এটি অনেক ধন্যবাদ।

👉 Think of it as: “অনেক ধন্যবাদ।”"
"これからおせわになります","ভবিষ্যতে দয়া করে সাহায্য করবেন","これからおせわになります (Kore kara osewa ni narimasu)

Literal meaning: “ভবিষ্যতে দয়া করে সাহায্য করবেন”.

Usage: একটি ভবিষ্যতে দয়া করে সাহায্য করবেন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
これからおせわになります は ほん です。→ এটি একটি ভবিষ্যতে দয়া করে সাহায্য করবেন।
これは これからおせわになります です。→ এটি ভবিষ্যতে দয়া করে সাহায্য করবেন।

👉 Think of it as: “ভবিষ্যতে দয়া করে সাহায্য করবেন।”"
"こちらこそ[どうぞ]よろしく[おねがいします]","আমিও তাই / আপনাকেও শুভেচ্ছা","こちらこそ[どうぞ]よろしく[おねがいします] (Kochira koso [douzo] yoroshiku [onegaishimasu])

Literal meaning: “আমিও তাই / আপনাকেও শুভেচ্ছা”.

Usage: একটি আমিও তাই / আপনাকেও শুভেচ্ছা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
こちらこそ[どうぞ]よろしく[おねがいします] は ほん です。→ এটি একটি আমিও তাই / আপনাকেও শুভেচ্ছা।
これは こちらこそ[どうぞ]よろしく[おねがいします] です。→ এটি আমিও তাই / আপনাকেও শুভেচ্ছা।

👉 Think of it as: “আমিও তাই / আপনাকেও শুভেচ্ছা।”"
